,reduction,size,delta,run,PHAT_time
157,binning,287,0.04,926d80f42ba645f1a90011745cdc20df,0.04035709200070414
158,binning,287,0.04,e2d2206f31ef48da80e1edfc6c871208,0.040147683000213874
159,binning,287,0.04,2bca7c59a5674a429fbafc2e12fffbf1,0.039987553999708325
160,binning,233,0.05,dd98eee897fc4f08909efad455c5ce69,0.03295784300007654
161,binning,233,0.05,448678b282084bcc900c65e77f4a20c0,0.03280153500054439
162,binning,233,0.05,21c84452a37f4dbd8f3479c7ff16f4fa,0.03280505600014294
163,binning,233,0.05,0be3f80f241d4f56809ea4539525a926,0.032939964000433974
164,binning,233,0.05,b500fd8b48df43e3979e574726b3b459,0.0329312719995869
165,binning,233,0.05,961aff5cb02047b38dc6761621d34782,0.03278283500003454
166,binning,233,0.05,874ed0d762024359b3dd228b87451fc9,0.032883128999856126
167,binning,233,0.05,2834c8f05a65480a8b5d8e157fcbcc9f,0.03304055300031905
168,binning,233,0.05,8b282dd0d4404ad280779f528df0ae66,0.03316007100056595
169,binning,233,0.05,f2a45fdee9fc4279b4d5047bdd43b4f8,0.033040997000171046
170,binning,233,0.05,27e71a00c9b34f4a8d31a783042045fb,0.032760447000327986
171,binning,233,0.05,0c566089e84a441886c37ffc4749e8f4,0.032715391000238014
172,binning,233,0.05,edf331f9cfd349ecb2b2078609f16a13,0.0329426180005612
173,binning,233,0.05,65e6afdd2fdf446f98b2b6c667e6ab4c,0.03279480800028978
174,binning,233,0.05,329965034b4d427eb2be4f8792c60af1,0.0337039209998693
175,binning,233,0.05,25667521725c4ba59f31713f68f704be,0.033306841000012355
176,binning,233,0.05,cde70ccc68414f59ae237c9b5b0b46c7,0.032843680000041786
177,binning,233,0.05,7116be9d139848f19ebd24dfc89118c9,0.032624493000184884
178,binning,233,0.05,49a00676d2214eaca7dce4711f0caf02,0.032852473000275495
179,binning,233,0.05,2b383d5fc4344570920001e2f5cd2fa4,0.03282478299934155
180,binning,93,0.1,4a7e637841a341b1ac4c27b5d4dac785,0.014248899999984133
181,binning,93,0.1,877236cffda24dba8bced14f7dd919b0,0.014151287000458979
182,binning,93,0.1,a1305cf30e7b4d09bc3d652628618d4d,0.014200192000316747
183,binning,93,0.1,224e45c981684857a99f2d1507e991ea,0.014059064000321086
184,binning,93,0.1,10a3a6bd6ef240469ed15fe4018445f6,0.014110709999840765
185,binning,93,0.1,90295eb8fd8147bd9408e943e0778292,0.014068024000152946
186,binning,93,0.1,52249267ecab44c2ad45bbbbe44d8d86,0.014100681999480003
187,binning,93,0.1,4d1a0738016e4bfe9d8a92fe2014956c,0.014316113999484514
188,binning,93,0.1,42581627de6f49d0b3a34e80d0752eae,0.01398362000054476
189,binning,93,0.1,c142b232c2ce4c2a91f5850aa8eb5c78,0.014094092000050296
190,binning,93,0.1,6fbc1a96606547a2bf445c2aae848a11,0.014105721000305493
191,binning,93,0.1,9be0d8200674439181547d1097e498ce,0.014069760999518621
192,binning,93,0.1,1e129b17b0494eff94f9af30eedf3e9b,0.01426910800000769
